Dataset root: datasets/SlopeLAS
Splits: ['train', 'val', 'test']
Block size: 20.0
--------------------------------------------------------------------------------
[train] DJI_202507101026_307_云梧-K340-955-995-点云-grass-cutting1_sim_block_00001.npy | N=65536 | density_bbox=176.39 pts/m^2 | density_block=163.84 pts/m^2
[val] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00132.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[val] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00142.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[val] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00157.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[val] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00171.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[val] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00182.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[val] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00189.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[val] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00196.npy | N=65536 | density_bbox=202.28 pts/m^2 | density_block=163.84 pts/m^2
[val] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00202.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[val] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00218.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[val] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00234.npy | N=65536 | density_bbox=226.69 pts/m^2 | density_block=163.84 pts/m^2
[val] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00246.npy | N=65536 | density_bbox=273.92 pts/m^2 | density_block=163.84 pts/m^2
[val] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00257.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[val] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00262.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[val] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00272.npy | N=65536 | density_bbox=199.22 pts/m^2 | density_block=163.84 pts/m^2
[val] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00277.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[val] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00280.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[val] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00284.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[val] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00292.npy | N=65536 | density_bbox=231.78 pts/m^2 | density_block=163.84 pts/m^2
[val] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00296.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[test] DJI_202507101026_307_云梧-K340-955-995-点云-grass-cutting2 - 副本_sim_block_00014.npy | N=65536 | density_bbox=187.83 pts/m^2 | density_block=163.84 pts/m^2
[test] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00005.npy | N=65536 | density_bbox=351.46 pts/m^2 | density_block=163.84 pts/m^2
[test] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00009.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[test] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00032.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[test] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00036.npy | N=65536 | density_bbox=166.44 pts/m^2 | density_block=163.84 pts/m^2
[test] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00044.npy | N=65536 | density_bbox=597.65 pts/m^2 | density_block=163.84 pts/m^2
[test] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00048.npy | N=65536 | density_bbox=166.44 pts/m^2 | density_block=163.84 pts/m^2
[test] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00055.npy | N=65536 | density_bbox=180.11 pts/m^2 | density_block=163.84 pts/m^2
[test] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00075.npy | N=65536 | density_bbox=202.28 pts/m^2 | density_block=163.84 pts/m^2
[test] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00078.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[test] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00080.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[test] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00089.npy | N=65536 | density_bbox=166.44 pts/m^2 | density_block=163.84 pts/m^2
[test] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00099.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[test] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00133.npy | N=65536 | density_bbox=196.24 pts/m^2 | density_block=163.84 pts/m^2
[test] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00144.npy | N=65536 | density_bbox=320.69 pts/m^2 | density_block=163.84 pts/m^2
[test] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00148.npy | N=65536 | density_bbox=166.44 pts/m^2 | density_block=163.84 pts/m^2
[test] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00150.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[test] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00175.npy | N=65536 | density_bbox=410.88 pts/m^2 | density_block=163.84 pts/m^2
[test] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00186.npy | N=65536 | density_bbox=193.36 pts/m^2 | density_block=163.84 pts/m^2
[test] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00190.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[test] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00213.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[test] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00223.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[test] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00236.npy | N=65536 | density_bbox=252.85 pts/m^2 | density_block=163.84 pts/m^2
[test] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00245.npy | N=65536 | density_bbox=1643.53 pts/m^2 | density_block=163.84 pts/m^2
[test] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00251.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[test] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00254.npy | N=65536 | density_bbox=212.07 pts/m^2 | density_block=163.84 pts/m^2
[test] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00264.npy | N=65536 | density_bbox=320.69 pts/m^2 | density_block=163.84 pts/m^2
[test] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00275.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[test] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00300.npy | N=65536 | density_bbox=201.87 pts/m^2 | density_block=163.84 pts/m^2
[test] DJI_202508221426_217_英怀阳江方向-K86-850-点云-bare-cutting1 - 副本_sim_block_00301.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
--------------------------------------------------------------------------------
Total files: 344
Total points: 22544384
Mean points: 65536.0
Median points: 65536.0
Min points: 65536
Max points: 65536
Log saved: /home/zjf/projects/myrandla/tools/log/npy_stats_20260317_145402.txt
